Nombre	Descripción	Categoría	Cantidad	Precio	Precio Compra
Fertilizante Orgánico NPK	Abono orgánico completo con nitrógeno fósforo y potasio para cultivos	Fertilizantes	150	25000	18000
Semillas de Maíz Híbrido	Semillas certificadas de maíz híbrido de alto rendimiento	Semillas	500	15000	12000
Herbicida Glifosato	Herbicida sistémico para control de malezas	Pesticidas	80	35000	28000
Sistema de Riego por Goteo	Kit completo de riego por goteo para 100 metros	Riego	25	450000	380000
Pala de Jardín Profesional	Pala de acero inoxidable con mango ergonómico	Herramientas	40	85000	65000
Fertilizante Urea 46%	Fertilizante nitrogenado de alta concentración	Fertilizantes	200	22000	17000
Semillas de Tomate Cherry	Semillas de tomate cherry orgánico certificado	Semillas	300	12000	9000
Insecticida Neem	Insecticida orgánico a base de neem para control de plagas	Pesticidas	60	42000	35000
Manguera de Riego 50m	Manguera flexible de alta resistencia para riego	Riego	30	95000	75000
Azadón de Acero	Azadón profesional de acero templado	Herramientas	35	65000	50000

